sentence	target
I doczekać z antykaczyńskim rządem do jesiennych wyborów .	persName
Jeszcze niedawno , bo przed dwoma , trzema laty " dumna z konkiety " spędzała z Maksem długie godziny , wypłakując na jego piersi skargi , że " nigdy miłości nie zaznała , bo ojciec , nie pytając , wydał ją za pijaka " .	persName
– uwaga ja mówię o takiej dziew . z długimi czarnymi włosami . .	noEntity
no i Darek . zdobył cztery plusy i czwórkę dostał jako jedyny w grupie . .	persName
- Pojawiły się głosy , że nie nadaje się ono do montażu brytyjskiego sprzętu .	placeName
spłata tych kredytów odejmie nam owe procenty którymi GW i Pan również się zachwyca .	orgName
Przybiegła Dorota z mężem i synem .	persName
Trwa trzeci i ostatni etap – prace należy dostarczyć do 15 lutego .	time
Falk podniósł na niego swoje wiecznie załzawione oczy i dwaj mężczyźni mierzyli się przez chwilę spojrzeniami , jakby chcieli sobie paść w ramiona .	persName
- Bo prawdopodobnie niewidzialni ludzie widzą siebie nawzajem - powiedział Piotr .	persName
Bardzo panią proszę o interwencję w FPNP .	orgName
W naszej 5 . grupie zmierzą się Ukraina z Białorusią , mające dotąd identyczny dorobek .	orgName
MPK prowadzi jeszcze rozmowy z wojskiem i PKP .	orgName
Mam prawo przypuszczać , że reakcje Polaków w takim wypadku odbiegały by od zachowania Amerykanów .	placeName
Przechodząc ze stanu koczowniczego do uprawy roli , musieli uczyć się rolnictwa od Kananejczyków .	orgName
Wtedy , w takiej godzinie szczerości , ujawnić się może skryte dziś oblicze kraju nad Wełtawą , gdzie zawsze silne były nastroje i wpływy lewicowe .	geogName
- Jadła m śnieg - mówi pani Jadwiga .	persName
– Co ?	noEntity
– za dwadzieścia minut się zbieram . .	noEntity
Wyślij ją Hawańczykom !	placeName
- A może potrafisz i mnie naśladować ? - spytała zaczepnie Polina .	persName
Urząd Morski zakazał sprzedaży spirytusu w kartonikach na promach wolnocłowych .	orgName
Tam śpią zmęczeni podróżni .	noEntity
Wisiała na nich kartka napisana ręką Ilii , rozpoznał jego duże , koślawe litery .	persName
Gdy w roku 1948 przejeżdżał em tamtędy samochodem , oglądał em je .	time
I argumentowanie tego , że kary śmierci nie może być tym , że bóg nie kazał zabijać .	persName
W wolne od zajęć na uniwersytecie dni wsiadał em do jego ciężarówki i jechali śmy przez pół Francji .	placeName
Gustav nie był taki niewinny , miał już kilka kobiet przede mną .	persName
Jednakże zgodnie z rzymską zasadą " cokolwiek czynisz , czyń roztropnie i wyglądaj końca " wypada zastanowić się nad ogólnymi i być może słabo postrzeganymi skutkami tej jakże atrakcyjnej propozycji .	placeName
Na miejscu uczy się wymowy nazw stacji metra .	noEntity
Pani Basiu , przecież nie od dziś się zajmuję religią , nie od dziś przeprowadzam obserwacje , nie od dziś wypowiadam się o tych kwestiach .	persName
To musiała by m po prostu przeczytać razem z całą moją notatką .	noEntity
przyklejam .	noEntity
czy w ogóle powinni śmy zmieniać ton w stosunkach z Rosją	orgName
Straty na szkodę mieszkańca Ostrzeszowa .	placeName
Starszyzna plemienna , odarta z wszelkich złudzeń , odmówiła uznania króla i pospiesznie opuściła Szechem .	geogName
Widzicie , lyrijski orzeł czarny i rivskie rauty czerwone .	placeName
To ostatecznie przesądziło o południowym kierunku japońskiej ekspansji .	placeName
Miał 78 lat .	noEntity
Myślę , że w tej chwili nie jest to konieczne .	noEntity
W klubie zjawił się tłumacz i porozumiał się po angielsku z murzyńskim piłkarzem .	placeName
- Napad ! - zaczęła alarmować , kiedy Mister O'Goreck nie mógł już zrobić ruchu .	persName
podręcznik jak weźmiemy taki szkolny typowy podręcznik to najpierw historia świata jest historią Grecji	placeName
Niech później mi nikt nie mówi , piszę , jak było , nie jak kłamliwa z gruntu , nomenklaturowa , komunistyczna , ruska retoryka próbuje wmówić , jaki on jest wspaniały , nie mówię nie , jest naprawdę dzielnym gościem , ale tak kłamliwym , tak przewrotnym , nie skarżę się , ale te wszystkie nieprzespane noce , ten wysiłek . . .	placeName
To państwo Kaczyńscy wiedzą i rządu do dymisji nie podadzą .	persName
( W następnych latach była w Polsce niemal co roku , w sumie 28 razy , ostatni raz w roku swojej śmierci ! )	placeName
Żydzi w Izraelu podlegają także innym czynnikom .	placeName
Na ogół umierały dzieci nowo przybyłe , zabrane z ulicy w stanie krańcowego wyczerpania .	noEntity
Chcąc im skrócić oczekiwanie na występ , organizuję prywatne przesłuchanie dla Angeliki .	persName
Pebereau sugeruje również , aby zyski uzyskiwane z prywatyzacji były przeznaczane na spłacanie długu wewnętrznego .	persName
Na kilku odciskach pieczęci miejskich które zachowały się do naszych czasów , figuruje napis Sigillum Magis Civitatis Sensburgensis oraz data Anno 1348 nad lub pod łapą niedźwiedzia .	time
- 30 sierpnia 1995 r . napisał em do prokuratury o wydanie nieruchomości .	time
W górnośląskiej aglomeracji pomnikowe okazy przyrody są rzadkością , więc należało by je chronić szczególnie pieczołowicie .	geogName
Włoszczyznę pokroić , kapustę poszatkować i razem udusić .	noEntity
A jeżeli to Jeff . . . jeżeli to było jego ciało . . .	persName
Przez to środowisko koalicja z UW wciąż jest traktowana niemal jak zdrada .	orgName
Parafowanie umowy nie poprawiło szans wyborczych AWS , ale sprawa ta dalej jest wykorzystywana do celów politycznych .	orgName
- Zdrowiej będzie dla ciebie , jak wyjedziesz .	noEntity
jeśli chodzi w ogóle o energetykę to . my sobie mówimy o rzeczach dość powierzchownych a nie mówimy o podstawowych rzeczach .	noEntity
za zamieszkał w garażu u tego kochanka swojej żony	noEntity
Nie wolno jednak przesadzić , bo wyjdzie się na dziecko upośledzone , a takie mają miejsce poślednie i mamusie się ich wstydzą przy innych paniach .	noEntity
to był tak rząd wielkości kurna . cztery cztery siedemset . .	noEntity
Faktycznie autobusy trafiały do PPKS po kilku miesiącach , jeden nie dotarł wcale .	orgName
Nagrzewanie elektryczne jest to technika wytwarzania i wykorzystywania ciepła z energii elektrycznej .	noEntity
Odtąd miał wspólnie z nim zdobywać Kalabrię , lecz oczywiście szybko się usamodzielnił .	geogName
W świetle obowiązujących przepisów tak , choć posłowie z sejmowej komisji skarbu uważają , że do czasu wyjaśnienia sprawy powinien zawiesić udział w pracach zarządu .	orgName
Strażacy otrzymali zgłoszenie o godzinie 5 . 00 rano .	time
Piękno świątyni - w powszechnym odczuciu - zostało przez to jeszcze bardziej wyeksponowane .	noEntity
Nagle roześmiała się sztucznie i pozornie niezbita z tropu , wyrzuciła wesoło : - Nie pamiętam !	noEntity
Od 1 stycznia 2000 r . , a praktycznie od wczoraj , lokaty w tych trzech bankach są - tak jak w innych - objęte poręczeniem Bankowego Funduszu Gwarancyjnego .	time
Zgodnie z zasadami obowiązującymi w US West katalog nie zawiera adresów " Sex Shopów " , " Peep Show " itp .	orgName
W szatni jest brudno i zimno , a jeden prysznic przypada na 30 osób " .	noEntity
Druga waloryzacja , w tej samej wysokości , nastąpi we wrześniu .	time
Wczoraj grupa posłów AWS przesłała do laski marszałkowskiej projekt ustawy dekomunizacyjnej , pod którym podpisało się 105 parlamentarzystów .	orgName
Możliwe , że głosy niezadowolenia ze strony UW wzięły się stąd , iż kandydat popierany przez lokalne władze tej partii nie zawsze był akceptowany przez centralne władze unii .	orgName
Tym razem nie zdecydowano się na wspólny projekt z Porsche a z Cosworthem specjalizującym się w przebudowach i wzmacnianiu silników .	orgName
Kostek nie ruszył się z miejsca , więc wziął go za klapy , okręcił swe wielkie ciało i posłał sukienny tłumok przez pokój .	persName
– no to wzięła dziewiąty dziesiąty dwa tysiące dziesiąty	time
Ale Hristina nie drgnęła .	persName
Rozstrzelany przez władze sowieckie .	placeName
Te grzechy spowiada tylko Chrystus .	persName
Poroże to zrzuca w styczniu - lutym .	time
NIK stwierdził również , że wysokość zarobków ma niewiele wspólnego z zakresem obowiązków osób je pobierających czy wielkością powierzonego im pod zarządzanie kawałka kraju .	orgName
- Nikt nie chciał dostać w skórę czy być zawstydzony i bardzo się pilnował - mówi Pająk .	persName
Włodek : Mam wrażenie , że ludzie bardzo lubią różnego rodzaju psychozabawy i jeżeli nadarza się okazja sprawdzenia , natychmiast wywołuje to w nich spore podniecenie : jestem czy nie jestem hazardzistą , typem zdobywcy , alkoholikiem ?	persName
9 , 27 , 96 .	noEntity
Auto zatrzymuje się i wysiada z niego dwóch facetów po cywilnemu .	noEntity
Wysoki Sejmie !	orgName
Jeden z największych węży europejskich ( 150 - 180 cm , nawet do 2 m ) .	geogName
P : – Cienki .	persName
Jako Polaka i prawnika interesowała mnie motywacja wyroku .	placeName
Surowo też piętnował niesprawiedliwość społeczną i ucisk , gdyż w nich widział szczególnie rażące naruszenie porządku ustanowionego przez Jahwe i bunt przeciw jego woli ( Iz 2 , 12 - 24 ) .	persName
niech pan spróbuje ją przeczytać tak . tak jak pan mówi . że że to był sowiecki namiestnik . czyli no . kompletnie uzależniony ubezwłasnowolniony .	placeName
W niedzielę po południu turysta schodzący z Zawratu usłyszał głosy we mgle .	geogName
Nie mieszkam też w Wenecji czy Paryżu .	placeName
Prezentujemy krótkie opisy tego typu stron , z uwzględnieniem podziału na grupy tematyczne , których one dotyczą .	noEntity
Czy aby nie w powstaniu warszawskim ?	placeName
Wydział Rozwoju docenił sporą aktywność sportową społeczeństwa i „ ciągi przygotowujące młodzież do wyczynu ” .	orgName
Mróz skrzypiał pod nogami Marcina , który szedł raźnym krokiem i pogwizdywał wesoło .	persName
I chyba tak powinno pozostać - wyprawą po następną rzeźbę .	noEntity
Jednak po 11 latach ich nieformalnego związku , od 7 lutego 2006 roku są w separacji .	time
Za dziesięć czy dwadzieścia lat nikt nie będzie pamiętał nazwisk z listy stu Polaków , którzy obecnie uchodzą za najbogatszych .	placeName
Regina i Aleksander doczekali 6 wnuków i 4 wnuczek oraz 12 prawnucząt .	persName
Ta zbrodnia wstrząsnęła Polską .	placeName
2 . Działalność oświatowa nieobejmująca prowadzenia szkoły , placówki lub zespołu , o którym mowa w art . 90a ust . 1 , może być podejmowana na zasadach określonych w przepisach ustawy z dnia 2 lipca 2004 r . o swobodzie działalności gospodarczej ( Dz . U . Nr 173 , poz . 1807 ) .	time
3 km na zach . Winna Góra .	placeName
To właśnie było przyczyną , że Izraelici ulegli tak łatwo jej urokowi .	placeName
– pięćdziesiąty drugi ?	time
Chce w Bohatyrowiczach zrobić biznes .	placeName
to są blokowiska dwu tysięcznego ósmego roku takie jak kiedyś robiono w latach sześćdziesiatych gdzie każdy marzył żeby w takim blokowisku się znaleźć	time
Dwór z 1 ćwierci XIX w .	time
– no pic no pewnie .	noEntity
Był jednak mus nieprzeparty .	noEntity
Że zawsze musiał eś mieć socjusza .	noEntity
- Jak to ? - jeszcze raz bąka Jerzy , ruchem głowy wskazując za okno .	persName
Wielu uważa , że w ręce Niemców wydawano głównie radzieckich komisarzy politycznych , nie wiedząc , że mogą wśród nich być także osoby pochodzenia żydowskiego .	placeName
Ponieważ wszystkie baseny kąpielowe były jeszcze nieczynne , Mister O'Goreck chętnie skorzystał z tej jedynej okazji do kąpieli w mieście .	persName
Mamy w piwnicy stary piec c.o na koks i chyba będziemy zmuszeni zainstalować go na nowo i spalać w nim wszystko , co się da , bo będzie taniej .	noEntity
Od rana do wieczora nad Pawilonem .	geogName
Godzina 14 . 05 .	time
Podczas którejś kolacji wyznał , że przez kilkanaście lat uprawiał pięściarstwo .	noEntity
Wybzykał , wraca do domu .	noEntity
Spalarnie przyjmowały dosłownie wszystko : zużyty sprzęt gospodarstwa domowego , stare meble , książki , resztki jedzenia , opakowania .	noEntity
Cesarzowi i jego margrafom , biskupom i opatom , którzy w świat Słowian nieśli chrześcijaństwo , a pod pozorem i za pośrednictwem chrześcijaństwa niemieckie ujarzmienie i wytępienie , zastawił drogę i wyrwał z ręki krzyż .	placeName
Rosjanie mają wbudowany kompleks Wielkiej Rosji - kraju potężnego , bogatego , przodującego itp .	placeName
Stacja Hodowli Roślin .	geogName
Woda z Jałówki ma rzeczywiście niezwykle wysoki poziom energetyczny , sięgający ponad 7200 jednostek Bovisa , co w ciekach powierzchniowych jest rzadkie .	geogName
Róża pamiętała dobrze ten dzień .	persName
Degraduję cię ! - rozdarł się zwykle łagodny Jasio .	persName
Rząd angielski nie mogąc obniżyć stawek celnych do poziomu przedwojennego , zaostrzył kary za przemyt .	placeName
W ZUS nie ukrywają , że lekarzom trudno udowodnić , iż nadużywają swych kompetencji .	orgName
Pracownik garażu odnotował na świadectwie numer rejestracyjny samochodu klienta .	noEntity
Gorzów Wlkp .	placeName
Odliczanie w szyku marszowym odbywa się poprzez zwrot głowy w lewo i podanie liczby do tyłu , do kolejnego harcerza w rzędzie .	noEntity
Tragiczna pomyłka sądowa ?	noEntity
Ustalono , że podstawą rozmów może być tylko memorandum z 29 sierpnia .	time
Czarnym bardzo to nie na rączkę , ale nie udało się im wykurzyć niechcianych lokatorów ( pisali śmy o tym w " NIE " nr 20 / 2003 w artykule pt . " Kundelek się modli " ) .	time
czy to jest takie wyraźne opowiedzenie się po stronie . Gruzji ?	placeName
19-letnia mieszkanka Koszalina przekonała kolegów , aby pomogli jej oszukać bank .	placeName
Dla Koreańczyka handlującego owocami morza Hindus pytający go po angielsku o cenę suszonych ryb wydaje się takim samym dziwnym przybyszem z zewnątrz jak Polak czy Francuz .	placeName
Jadzia żadnej nie widzi , Jadzia woli widzieć to samo .	persName
W rzeczy samej , film był nie najlepszy , ale mnie nikt nie zmuszał do jego oglądania więc po 15 minutach po prostu przestał em to robić .	noEntity
- Powinno być łatwiej , bo Husajna nie otaczają fanatycy .	persName
Akurat na chwilę spuściła Kamilka z oczu i wyszła do kuchni .	persName
Samozwańczy gliniarz posługuje się oryginalną legitymacją .	noEntity
ImageMagick umożliwia uproszczenie takich działań , wystarczy napisać prosty skrypt w tym programie .	noEntity
Bychawa .	placeName
Zamiast Duńczyków sprowadzimy na sparingi zespół z ligi słowackiej .	placeName
jak wiedzą że mają przyjść to telewizor . .	noEntity
Jelcyn , według agencji , zapowiedział , że redukcja obejmie jednostki sił lądowych i marynarki , ale nie podał żadnych konkretnych informacji : o ile zmniejszone zostaną wojska i jakich okręgów wojskowych będzie dotyczyć redukcja .	persName
Rudawy zarost na policzkach podchodził mu pod same oczy .	noEntity
– które daje Marcin bo	persName
Zapytacie : w tajemnicy czy nie , takie zebranie przecież zwołujemy , jakże wtedy wyglądamy wobec samych siebie ?	noEntity
To , że żyjemy w wolnym kraju , zawdzięczamy przemianom , jakie zapoczątkowała " Solidarność " .	orgName
Debiutanckie opowiadanie opublikował w roku 1944 , w wieku 23 lat .	time
- Nie tylko z powodu lokalizacji - budynek stoi przecież tuż przy ulicy , w bardzo ruchliwej części miasta , ale i samej konstrukcji .	noEntity
Mężczyźni podchodzili coraz bliżej , a Żółtoskrzydły stanął w rozkroku .	persName
Krzywe te charakteryzują przepływ podstawowy rzek , a zatem ich charakterystyki w okresie deficytu opadowego .	noEntity
– o boże nie no raz słyszała m .	persName
super jest	noEntity
– w lodówce wszystkie .	noEntity
Pracy nie ma dziś 2.866,5 tys . Polaków .	placeName
Życie religijne nie może też być przycięte do swoich moralnych pouczeń czy przykazań , jako że sens wszystkich religijnych przykazań jest nierozdzielnie zrośnięty z ich korzeniem w boskich źródłach bytu ; przykazania mogą także przetrwać czas jakiś , lecz muszą wydawać się coraz bardziej wątpliwe , wątłe , arbitralne ; jest to sprawa antropologiczna , nie zaś logiczna .	persName
nie ma z nami ministra Sikorskiego który mógł zdystansować się do słów tych po po tej polemiki .	persName
Cała bazylika wraz z kopułą sięga wysokości 132,5 metra .	noEntity
Pewnie Konrad . . .	persName
W grudniu , w wypadku samochodowym zginęli przyjaciele księdza , którzy jechali do niego na Sylwestra .	time
AA - Przestań !	persName
Zastanawiające jednak , że ów członek Zarządu Miasta dostrzega fakt konieczności zamontowania parkomatów w mieście dopiero po . . . blisko ośmiu latach funkcjonowania Strefy PP .	orgName
Francja postawiła na energetykę jądrową , elektrownie atomowe produkują dziś w tym kraju blisko 80 proc . elektryczności .	orgName
otóż sytuacja w której . cały import . będzie na podstawie jednego kontraktu . z gazpromu jest sytuacją złą .	orgName
To jest prawie okupacja pod względem gospodarczym , dwa razy gorsza niż hitlerowska "	persName
Rozważa się również możliwości współpracy w budowie elektrociepłowni w kosowskim zagłębiu węglowym w Jugosławii .	placeName
– ja na te filmy tak nie patrzę wiesz ?	noEntity
W przestronnej kotłowni , która w przeszłości ocieplała jedną ze szklarni w Kątach Węgierskich , przestępcy zainstalowali dwie kompletne linie technologiczne do produkcji narkotyku .	placeName
" Unia ma do wyboru kilka opcji : od porzucenia projektu konstytucji poprzez próby ratyfikowania tekstu w obecnej formie , wyjaśnienia , lub uzupełnienia jego bieżącej wersji , zmianę obecnego tekstu celem jego poprawienia aż po gruntowne przeredagowanie tekstu " - czytamy w rezolucji .	orgName
Zachęcamy , aby również w czasie Wielkiego Tygodnia zrezygnować z oglądania telewizji .	noEntity
Wyruszyły na długi spacer plażą , Elizabeth szła boso po rozgrzanym piasku i dziwnie ją to uspokajało .	persName
Zgodnie z przytoczoną przez ciebie definicją predykatu fizycznego TO co ja nazywam " Bogiem " ma swoją " emanację " jak najbardziej w świecie fizycznym , a właściwie świat " fizyczny " jest emanacją " Boga " :)	persName
W pokoju Joanna odnalazła wypchanego watą kotka , którego uszyła na pracach ręcznych .	persName
To się przewija w wypowiedziach pielęgniarek i położnych : Czy rząd podpisze porozumienie , które będzie gwarantem jakiegoś kompromisu , może niekoniecznie na obecnym etapie , lecz później ?	noEntity
Nie odpowiadając na pytania Agnes : " Czy to coś ważnego ? " , pobiegł do swego pokoju .	persName
Wieczorem , kiedy słońce opuszcza się na około 6 ° poniżej horyzontu , mogą być widoczne nie tylko w północnej części nieba ( dotyczy to obszaru Polski ) , gdzie przede wszystkim należy ich szukać , ale również bliżej zenitu .	placeName
tylko nie wiem . tam będzie się odbijało . nie .	noEntity
Za chwilę generalny inspektor ochrony danych osobowych złoży przed Sejmem ślubowanie .	orgName
Codziennie wiaduktem jeździło wiele tysięcy samochodów przemierzających trasę Łódź - Warszawa .	placeName
Odkrycie księżyców Marsa wywołało wielkie zainteresowanie i ożywioną reakcję prasy , która do odkrycia i odkrywcy ustosunkowała się entuzjastycznie pisząc między innymi , " że odkrycie to więcej niż wynagradza wyłożone na budowę teleskopu fundusze " , co w kraju władzy dolara może być uważane za dowód wielkiego uznania .	geogName
– a jak pójdę do piekła . znaczy rydzyk pójdzie do piekła	persName
Dyplomata jednak dyskretnie popatrzył zza firanek na niefortunnych ochotników i potwierdził zdanie Andrzeja .	persName
Najprawdopodobniej właśnie wtedy doznał poważnego urazu , w wyniku którego zmarł .	noEntity
Wytypowali śmy wtedy trzy lub cztery miejsca w historycznej czasoprzestrzeni .	noEntity
Bardzo się z Justynką waśnił .	persName
7 . Podsumowując : " normalizacja " pojmowana tak jak w punkcie pierwszym tego szkicu , mogła by stać się rzeczywistością w Polsce tylko przy założeniu , że wcześniej czy później zmilitaryzowanemu aparatowi władzy uda się zmusić społeczeństwo do kapitulacji ; zmodyfikowana wersja " kadaryzmu " była by wtedy najbardziej prawdopodobnym kierunkiem ewolucji .	placeName
AGATKA : Co jak się nazywa ?	persName
Andrzejewski uważa , że każda definicja ograniczy możliwość kierowania się przez sąd zdrowym rozsądkiem .	persName
W tym czasie wiele razy spotykał em się z Polską i mile to wspominam .	placeName
Skrzyżowanie z drogą leśną , d . karczma „ Modrzewina ’ ’ ( obecnie nowe budynki ) , pętla autobusowa .	geogName
CKM : Ty po prostu jesteś dżentelmenem !	orgName
– może robił by m coś innego wtedy . .	noEntity
Staruszka wyjęła z kredensu album oprawiony w zniszczoną ciemnowiśniową skórę .	noEntity
Neptun - aspekt ten poszerza pole działania i wskazuje na niezwykłe wydarzenia , lecz może także dać tendencje do zbytniego idealizowania .	geogName
– Kuba gdzie idziesz ?	persName
Poza żółwiami do Polski przywozi się zwierzęta wpisane do międzynarodowej Czerwonej Księgi ( lista gatunków zagrożonych wymarciem ) np . waran szary .	placeName
Otwarcie Muzeum TPN .	orgName
Skandal ze szpiegostwem przemysłowym wybuchł , gdy odkryto , że ma miejsce przeciekanie tajemnic Ericssona do obcych służb wywiadowczych .	orgName
Korzystając z okazji , proszę serdecznie podziękować wszystkim , którzy o mnie pamiętają w modlitwach , a szczególnie grupie pielgrzymkowej , z którą pielgrzymował em do Medjugorie , do Pani Pokoju .	placeName
– chciał eś żeby było Polakiem tak ?	placeName
W 1995 r . kandydowała w wyborach prezydenckich .	time
" Obrazy rażą nieudolnością techniczną , kolorystyczną i kompozycyjną . . . są to falsyfikaty pozbawione wartości muzealnej i materialnej " - orzekli eksperci z Muzeum Narodowego , którzy badali wartość obrazów na zlecenie prokuratury .	orgName
– Ach , o to ci chodzi , nie , jestem Polakiem !	placeName
Woda dokoła niej poróżowiała od zmytego kurzu .	noEntity
- Czekaj - rzekł Poseł - już my im pokażemy , i do drugiego mnie ciągnie .	persName
2 . Plan rozwoju strefy określa w szczególności cele ustanowienia strefy oraz działania , środki techniczne i organizacyjne służące osiągnięciu tych celów , obowiązki zarządzającego dotyczące działań zmierzających do osiągnięcia celów ustanowienia strefy i terminy wykonania tych obowiązków .	noEntity
- Powiedz mi , jak mnie kochasz .	noEntity
– no ładnie .	noEntity
akurat stał em koło Platiniego ponieważ miał em przyjemność towarzyszyć mu w czasie całej wizyty no i nieskromnie może powiem współorganizować tę wizytę yyy	persName
Dzięki przeznaczeniu na ten cel ogromnych sum oraz wysiłkowi połączonych służb bezpieczeństwa i ochrony - przywódcy i ministrowie kilkudziesięciu państw z supermocarstwami włącznie , mogli się zjechać w Budapeszcie i po dwudniowych obradach , zmienić słowo : konferencja na słowo : organizacja .	placeName
Jak ja rano poszedł em zobaczyć , z którego okna skakał , to szukał em na ziemi śladów kości .	noEntity
Występuje w niemal całej Europie z wyjątkiem jej wschodniej części oraz w Australii .	geogName
Elegancko i lekko złapała się gałęzi , po czym Tom pomógł jej stanąć na półce .	persName
Też będzie taka pusta głupia czy co tam jeszcze , jak juz mówiono wcześniej o blondynkach . . . ? ?	noEntity
Oprócz gotówki Lewicki podarował jej kartę płatniczą .	persName
- Prosit . . .	noEntity
- Robię imprezę i brakuje nam kobiet . - wąsaty nie krył zamiarów .	noEntity
Róża opuściła ręce .	persName
Usiedli obydwaj przy herbacie zaparzonej w grubych szklankach .	noEntity
– przez sejm po wakacjach	orgName
W odniesieniu do marca 2002 r . liczba bezrobotnych absolwentów jest mniejsza o 58 osób .	time
Czy pozwoli się poprowadzić przez karty powieści od pierwszej do ostatniej strony ?	noEntity
To Pruszyński : - Cezary ?	persName
Zresztą tamci nie zginęli by przez tak grubą nieostrożność , automatyczne czujniki podniosły by alarm , nawet gdyby nikt się nie zatroszczył o stereotyp badań .	noEntity
Nie jest .	noEntity
– ja ci powiem że . jak dostał em od ciebie te zaproszenia do tego do Gołuchowa . to był em po prostu . no	placeName
Wspólną cechą strategii dywersyfikacji poziomej i pionowej jest rozwój w ramach własnego środowiska ekonomicznego firmy , co oznacza , że w sytuacji posiadania nie najlepszej kondycji , nie gwarantującej szans dalszego rozwoju , powinna ona rozważyć wybór innej opcji strategicznej w postaci dywersyfikacji równoległej ( koncentrycznej lub konglomeratowej ) .	noEntity
5 . Nie pobiera się opłat portowych od jednostek pływających Marynarki Wojennej , Straży Granicznej i Policji oraz od statków pełniących specjalną służbę państwową .	orgName
Czasami nawet przestrzeganie przepisów nie pomoże , jeżeli nie zachowamy zdrowego rozsądku , a w przypadku dzieci jeśli nie wytłumaczymy im , że nawet na przejściu dla pieszych muszą zachować szczególną ostrożność i mieć ograniczone zaufanie do nadjeżdżających kierowców .	noEntity
Nie rozumiem czemu miał by m cokolwiek wyznawać jakiemuś gościowi z zielonym szalikiem siedzącemu w budce jakiejś	noEntity
Sprowadzeni na miejsce strażacy i policjanci nie ukrywali zdziwienia .	noEntity
Chciał em , żeby była zjednoczona , był em posłem w Parlamencie Europejskim .	orgName
Nieoczekiwanie dla samej siebie nie wróciła po zajęciach do domu , ale pojechała do Hamptons .	placeName
Dla zdrowia psychicznego i fizycznego trzeba wówczas chwilowo panią uśpić .	noEntity
Inny wiersz , nieznanego autora , zapewne też wybrany i przepisany w trakcie lub bezpośrednio po wakacjach w Szwajcarii : O gdyby wtedy wydarte z osnowy Natury zręby runęły z wysoka , Pewnie by m dumnej nie uchylił głowy I nie przymrużył spokojnego oka , Lecz niewzruszony stał by m wśród rozgromu Nieba i Ziemi i podobny skale , Martwy dla burzy i głuchy dla gromu , Konaniem zwiędły konał by m niedbale .	placeName
Dodajmy , że omawiane pomiary były prowadzone w listopadzie 2004 roku i w marcu 2005 roku .	time
20 milionów ludzi przewinęło się już przez Pałac Kultury .	geogName
8 maja	time
- I jego kobietą ? - wskazał wreszcie Kiernackiego .	persName
miała m mieć w ogóle tego Niemca na głowie ale przyjeżdżają jednak w środę .	placeName
A ty to wiedz , że każdy może mieć swoją opinię bo one są jak dziury w d.. - każdy ma jedną .	noEntity
16 lipca	time
Ósma już , obiadu nie ma , statki niepozmywane . . .	time
Nie użyję siły - zapowiadał jeszcze w poniedziałek komornik wyznaczony do eksmisji stołecznego klubu Le Madame .	orgName
– Kochasz kogoś ? – usłyszał ostry niczym brzytwa głos Lisiego Kołnierza .	persName
Monopter wzniesiony na wyspie na kolistym podmurowaniu , osiem kolumn toskańskich , podtrzymujących spłaszczoną kopułę .	geogName
W ciągu ostatnich dziesięciu lat rynek pracy w Polsce bardzo się zmienił , a z nim postawy Polaków wobec kwestii poszukiwania pracy lub jej zmiany .	placeName
Od 1 maja możemy tam bowiem legalnie pracować i zarabiać tyle , co obywatele tego kraju .	time
- Dobrze wychowany młodzieniec - chwali babcia , gdy Marcin znika w mroku nocy .	persName
Najpierw jazda w taksówce z Żydowa do Poznania - niewiarygodnie krótka .	placeName
– Jasiu jest bardzo modny . .	persName
No , do Internetu przez Rosję . . .	placeName
- Ja jestem śmiercią - podjęła dziwnie brzmiącym głosem .	noEntity
No i oczywiście Piotrek mu wyjaśnił , że jestem jego ojcem .	persName
Nogi zielonopopielate .	noEntity
5 . Ilu Polaków trzeba do umycia samochodu ?	placeName
Logoreja .	noEntity
Stanęło wszystko : metro , kolej , autobusy i samoloty .	noEntity
Dziękuję Ci , Agnieszko .	persName
Łyżwiński dodatkowo w malwersacje finansowe przy prowadzeniu biur poselskich .	persName
Tymczasem coraz więcej rodowitych Szwedek poddaje się okaleczeniu genitaliów w sposób niewiele odbiegający od rytualnego obrzezania , chociaż nie aż tak brutalny i nie pozbawiający pacjentek satysfakcji ze współżycia seksualnego .	placeName
Mężczyzna zmarł na miejscu .	noEntity
- Poczekaj - zatrzymał go Szretter .	persName
Ściskam Cię serdecznie , kochana moja , oddany jak zawsze H .	persName
- To była najłatwiejsza część mojego planu : kupiła m od Ruskiego na bazarze .	placeName
Pociągnął potężny łyk alkoholu i zapisał nazwisko Huhmanna .	persName
W rezultacie rodzimi arabscy mieszkańcy obawiają się wychodzić na ulice .	placeName
Regina nie uznała tego za eleganckie ani tym bardziej śmieszne .	persName
Francja i Francuzi mogli być i często bywali wspaniali , ale jednak nie wszyscy i akurat wtedy na ich czele stały nieuczciwe i wyjątkowo nędzne kreatury .	placeName
O 16 . 15 nawet się z nią ożenić .	time
To nie licuje z godnością niemieckiego oficera !	placeName
W ciągu następnych lekcyj rozbujanie frazy dawało się powściągnąć , także styl i barwę uczuciową poddawała Róża ; a jednak ostateczny rezultat pracy zawierał w sobie ten urzekający pierwiastek - nowość , którą do trudu kompozytora i Róży dodawała Marta z zasobów własnego organizmu .	persName
Warszawski Indeks Giełdowy zyskał 5 procent , a WIG20 , indeks największych spółek na parkiecie , wzrósł o 6,1 procent .	placeName
Czyż nie on , z dziada pradziada dziedzic i pan tej ziemi , obowiązany dbać o dusze i ciała poddanych ?	noEntity
